@relation dataset

@attribute ID numeric
@attribute Timestamp numeric
@attribute 'Training round' numeric
@attribute CustomChuck_0 numeric
@attribute CustomChuck_1 numeric
@attribute CustomChuck_2 numeric
@attribute CustomChuck_3 numeric
@attribute CustomChuck_4 numeric
@attribute noise {0,1}
@attribute dur numeric
@attribute speed numeric
@attribute pos numeric

@data
30,171356314,2,0,0.105882,3.141593,-0.34902,-0.85098,0,0,0,1
31,171356366,2,0,0.105882,3.141593,-0.34902,-0.85098,0,0,0,1
32,171356413,2,0,0.105882,3.141593,-0.34902,-0.85098,0,0,0,1
33,171356465,2,0,0.105882,3.141593,-0.34902,-0.85098,0,0,0,1
34,171356517,2,0,0.105882,3.141593,-0.34902,-0.85098,0,0,0,1
35,171356564,2,0,0.105882,3.141593,-0.34902,-0.85098,0,0,0,1
36,171356616,2,0,0.105882,3.141593,-0.34902,-0.85098,0,0,0,1
37,171356663,2,0,0.105882,3.141593,-0.34902,-0.85098,0,0,0,1
38,171356715,2,0,0.105882,3.141593,-0.34902,-0.85098,0,0,0,1
39,171356767,2,0,0.105882,3.141593,-0.34902,-0.85098,0,0,0,1
40,171356814,2,0,0.105882,3.141593,-0.34902,-0.85098,0,0,0,1
41,171356866,2,0,0.105882,3.141593,-0.34902,-0.85098,0,0,0,1
42,171356912,2,0,0.105882,3.141593,-0.34902,-0.85098,0,0,0,1
43,171356964,2,0,0.105882,3.141593,-0.34902,-0.85098,0,0,0,1
44,171357017,2,0,0.105882,3.141593,-0.34902,-0.85098,0,0,0,1
45,171357063,2,0,0.105882,3.141593,-0.34902,-0.85098,0,0,0,1
46,171357115,2,0,0.105882,3.141593,-0.34902,-0.85098,0,0,0,1
47,171357168,2,0,0.105882,3.141593,-0.34902,-0.85098,0,0,0,1
48,171357214,2,0,0.105882,3.141593,-0.34902,-0.85098,0,0,0,1
49,171357266,2,0,0.105882,3.141593,-0.34902,-0.85098,0,0,0,1
50,171357313,2,0,0.105882,3.141593,-0.34902,-0.85098,0,0,0,1
51,171357365,2,0,0.105882,3.141593,-0.34902,-0.85098,0,0,0,1
52,171357417,2,0,0.105882,3.141593,-0.34902,-0.85098,0,0,0,1
53,171357464,2,0,0.105882,3.141593,-0.34902,-0.85098,0,0,0,1
54,171357516,2,0,0.105882,3.141593,-0.34902,-0.85098,0,0,0,1
55,171357563,2,0,0.105882,3.141593,-0.34902,-0.85098,0,0,0,1
56,171357615,2,0,0.105882,3.141593,-0.34902,-0.85098,0,0,0,1
57,171357667,2,0,0.105882,3.141593,-0.34902,-0.85098,0,0,0,1
58,171357713,2,0,0.105882,3.141593,-0.34902,-0.85098,0,0,0,1
